Dates,EBS AV,KBC BB,CSGN SW,UBSG SW,DBK GR,CBK GR,DANSKE DC,JYSK DC,BBVA SM,BKT SM,SAN SM,NDA SS,KN FP,GLE FP,BNP FP,STAN LN,HSBA LN,CBG LN,LLOY LN,BARC LN,RBS LN,BIRG ID,AIBG ID,MB IM,ISP IM,UCG IM,INGA NA,DNB NO,PEO PW,BCP PL,SEBA SS,SWEDA SS,SHBA SS,SX7P Index
1999-01-05,1.045511314444677,0.10212670317027757,0.8803366143741086,2.123045613316952,1.0055793801970005,-0.8326123481796532,-0.5910443131543075,-0.009042496871375724,0.8721196623584115,-0.9430792232187846,0.18562371929720212,0.4735066643376767,-0.2161865416757552,1.7536955239412337,-0.030796222933496792,0.5385774769392947,0.5317421270896616,-1.1732948263169676,0.40151110739234586,1.559536973606702,0.9161683928380764,1.3977013897965769,0.8336118886793973,-0.8339515444220537,0.23328865180240238,1.8064523398912935,0.63920899430855,1.353149027577208,2.6151474748407506,0.2826227027394133,1.5591269501944491,0.6482522713006902,0.3824802295099132,0.8972774982627861
1999-01-06,-0.00910744314422113,1.14517616476445,1.1258717886032514,0.9105998434574666,1.9602358651382479,1.3001728795449472,0.3466838214324528,0.04225288565022515,0.00910871012524676,-0.005683384915371478,0.0058605467330605,-0.004960354751716417,3.3185332277850668,2.8318713320773075,3.576771669005215,5.635537749142874,4.957281914401583,-0.8636940149482709,1.7257716673463124,2.5382100768677027,2.7745987868536632,1.0383391359800536,1.2568746609931658,0.0038616541651259823,0.006950357879179961,0.01859188007610245,1.4835535770453008,2.596039925384674,1.8441801189405185,0.9586788432022969,-0.006054050112341628,-0.003943925407109188,-0.008576809645952687,1.9001222023928401
1999-01-07,-0.5760274328226355,0.04974245568279938,-1.5594541265888588,-0.9503900964982026,-0.891879557784275,-0.6785400423827378,0.8563229418664814,-0.041555693220548195,-0.2549176515469246,-2.8689585319001276,-3.2313788003426422,-0.4842596605789605,-0.29938777968444,-2.5878132755018597,0.024288220588365262,-0.039869399527371584,-0.02786345807720766,0.07081290521392077,-0.4327192298832526,-0.37012673330525836,0.1932301938804734,-1.4106146971932314,-0.5005736642345209,0.9534857846142665,-0.11338738232331187,-1.571696119528655,-1.600659150648309,-1.6611013958793115,3.324707537050774,0.21860784930942156,0.9638224778075313,0.07772805958446193,1.0941232380941834,-0.9273902888796316
1999-01-08,-1.5798167351387753,0.6785612427885303,0.7824686296607776,0.513482527108674,1.1383837025057264,0.8098685763407445,-0.9903759048265913,-1.1406740004961005,0.8939762987382909,1.1573479516070038,0.6067548086765746,0.2460216016442453,0.2607944756628421,0.24253648332788144,-0.8015122461917908,2.5949296027924307,0.9870967342601404,4.293341948967715,-0.2965962472843635,0.35867553295249005,0.2512564526882606,-0.4342937242928161,0.05727314554590579,-0.9891088781625526,0.29984599891397457,-2.1053929184351916,0.13033762262773055,2.5964615817607672,0.6125627216604409,0.24587226069225884,0.2146502769191482,0.43696930334622985,-0.022424216577440648,0.3442195035240465
1999-01-11,-0.81997850784003,-0.38484132995651354,-1.0790996117059597,-0.45056534298858775,-1.1151414441382215,-1.2154375471708525,-0.4615235451681958,-0.3288714135656058,-1.945918838708028,-0.2050021887302295,-1.120093139727374,0.967113899157221,-0.06880877294046095,-0.4622217591318139,-1.091504440898591,-0.48376721981780996,-1.0413466908508846,-0.9244675431829791,-0.9452353230570331,-0.6456641573761011,-0.2547350334691497,-0.4424582458981897,-0.47139534655209137,-1.623940760469091,-0.43769403061424506,-1.806624914537242,-1.211518133773689,-1.0303086741743879,-0.0941657796735776,-0.8831847066100421,0.2311944680345816,-0.12852304720820823,-0.925132994699207,-1.2776505487865895
1999-01-12,-0.5923987127388305,-0.4873126527328447,-0.3547564329390917,0.008106318673186981,-1.297997551628493,-0.49892861732171967,-0.3439603418083247,-0.1094453044356298,-2.347661548166341,-1.7294389830656658,-1.1767701629801195,-0.609310035204163,-1.8905908194970005,-1.0419704783446473,-2.8234643398872263,-0.30720037705601255,0.6809917268376258,-0.2878295127353263,-0.3640931337501213,-0.3440338338826021,-0.25657889074225576,-0.11618704701844426,-0.5247857879023613,-2.4487596116302517,-2.44594798866199,-1.4885847267524712,-0.4873515679166185,-0.5367258934544858,-4.5443039961355955,-0.33083462775646405,-1.1259324185777597,-0.7797657267843279,-0.8400641668600107,-1.1990980366351427
1999-01-13,-3.466115923875915,-0.27058044935412484,-1.9820294835442125,-2.59647576348359,-3.020014760214022,-2.136262780929303,-0.31342721725463013,-1.8913609778627076,-6.975545528538896,-3.734121619822585,-5.918457185823276,-0.5701189895067904,-0.8056629303332546,-2.8976696024450113,-3.021508251954835,-4.257399481128364,-4.046493338190676,-0.7670337017777898,-1.6623048497987742,-1.8737225761845315,-1.2273651644564174,-0.9736321198379129,-0.6107634767316895,-3.192403696244591,-1.9744990659699735,-1.3876939147528284,-3.4591535314969613,-2.6283269728890195,-1.860287889931184,-1.1540459531104703,-2.171049184556916,-0.7480210585280315,-2.559188368938093,-3.367300805367543
1999-01-14,-0.0006838578757884683,0.4193924065190206,-1.153900769332952,-1.607347824931611,-2.401622128274597,-0.35154047473419875,-0.6057732844127743,-0.00595999763011671,0.7023938381017153,2.594145434335773,1.1584438538370287,2.574051094304506,-0.6063615537384973,-1.2961158462072744,-1.1872282429013095,-1.146435642359987,0.16845416857427198,0.04897514442934383,-0.9257114128282391,-0.21827832198691005,-0.08171589790372617,0.3326325747706963,0.6153477133324039,-2.1685285277609885,1.5023527344656358,1.2518929654015964,0.11338347924883439,0.1370013986978478,-4.240428877986534,0.24335237929765297,-0.796497168405608,0.36375838377816627,-0.40367509484762715,-0.33329304709015783
1999-01-15,0.380654135283552,0.14736885606847214,1.081628349291183,1.195468995449613,1.202165816496111,0.4785319292646047,-0.014950000364697276,-1.0365017743894138,3.4841069809776477,1.5991936826221367,0.0058605467330605,0.0026061188056761245,1.1962046088122757,0.3072954586262169,1.7791904385818438,2.537385799700559,2.2401108302924717,-0.37900448080851606,0.06339971075543017,0.9562957771522755,1.3806894020563292,-0.12048995064694157,0.2964893517752817,2.1762518360912404,0.4929974051418777,1.3199046882872574,0.6511574678955657,0.08556841532483296,0.9397191533832608,1.3737060786323252,0.0006108176019612613,-0.6365464512529337,1.5300536046957223,1.2567516404587984
1999-01-18,0.011740898046324333,0.025191054964445632,0.1558588697282602,0.117565148992956,1.1198466437311934,2.546524280600622,0.0017636059148948822,0.2608826098654101,4.535440258722929,1.3485490793267343,6.457703699489966,2.5699752320106546,0.20453894252741217,2.8930523572391724,4.463031271934926,3.233200337708677,1.9132465681011308,0.5021764342843981,1.6508638901394426,1.654005280012886,1.258103180764498,0.22167061220313355,0.8910847600327689,2.796401751545969,-0.5609736686361606,0.3748315140706001,1.7080751108904153,0.8965205761910535,4.6158489133075244,-0.06856294627462903,-0.1866857252868702,1.5467591740747961,-0.08050625209983645,2.2785537568365886
